glottocode,Achievement: Avg,Competitiveness: Avg,Obedience: Avg,Slavery: type,(Semi)divine ruler
nort2938,4.0,6.0,5.0,4.0,NA
nort2971,5.0,4.0,4.0,1.0,0.0
nort3051,5.0,5.0,3.5,4.0,NA
nots1237,2.0,2.0,6.0,1.0,NA
nucl1235,NA,NA,6.0,1.0,NA
nucl1301,3.0,3.0,6.0,1.0,NA
nucl1310,2.5,2.5,3.5,3.0,NA
nucl1347,4.5,6.5,9.0,4.0,NA
nucl1417,5.5,6.0,3.5,4.0,NA
nucl1643,5.5,2.5,7.0,1.0,NA
nuer1246,NA,NA,NA,NA,0.0
nuuc1236,NA,NA,NA,NA,0.0
nyak1261,6.0,6.0,5.0,2.0,NA
oldk1249,NA,NA,NA,4.0,NA
oldn1244,NA,NA,NA,NA,1.0
omah1248,5.0,3.5,8.0,2.0,0.0
onaa1245,NA,NA,NA,NA,0.0
orok1269,1.0,0.0,5.5,1.0,NA
otor1240,6.5,6.5,8.0,2.0,NA
pala1344,3.5,5.0,2.0,1.0,NA
pamo1252,2.75,5.0,3.0,3.0,NA
pawn1254,2.0,5.0,5.0,2.0,NA
pieg1239,NA,NA,NA,NA,0.0
pitj1243,NA,NA,NA,NA,0.0
port1278,NA,NA,NA,NA,0.0
qawa1238,NA,NA,NA,NA,0.0
rade1240,NA,NA,5.0,1.0,NA
rali1241,6.5,4.5,1.5,1.0,NA
russ1263,6.5,2.0,8.0,1.0,NA
saaa1241,NA,NA,NA,1.0,NA
samo1305,4.0,5.0,8.0,1.0,NA
sanb1242,5.0,NA,5.0,3.0,NA
sant1410,4.0,5.0,5.0,1.0,NA
sara1340,7.5,NA,5.0,1.0,NA
sene1264,NA,NA,NA,NA,0.0
seri1257,NA,NA,NA,NA,0.0
shil1265,4.0,5.5,3.0,4.0,1.0
shua1257,6.0,NA,6.0,1.0,NA
sich1238,5.5,5.0,2.0,4.0,NA
siri1273,5.0,3.0,3.5,1.0,0.0
siwa1245,6.0,5.0,4.0,1.0,NA
sout2918,3.0,0.0,2.0,1.0,NA
sout2949,NA,NA,NA,NA,0.0
sout2959,3.5,5.0,3.0,1.0,NA
sout2994,2.5,4.0,3.0,1.0,NA
suku1259,3.5,NA,8.0,2.0,NA
tahi1242,NA,NA,NA,NA,1.0
taln1239,4.0,2.0,6.5,2.0,NA
tana1285,3.5,5.0,10.0,4.0,NA
tari1263,6.0,6.5,NA,1.0,NA
teda1241,5.333333333333333,NA,5.0,2.0,NA
tehu1242,4.0,NA,2.0,2.0,0.0
thai1261,4.5,NA,5.5,1.0,NA
ticu1245,NA,NA,NA,NA,0.0
tiko1237,5.0,NA,6.0,1.0,NA
tita1241,6.75,5.0,3.0,1.0,NA
tivv1240,5.0,5.0,8.0,4.0,NA
tiwi1244,4.25,NA,4.0,1.0,NA
toba1265,NA,NA,NA,NA,0.0
tobe1252,NA,NA,NA,4.0,NA
toda1252,NA,NA,NA,1.0,0.0
toho1246,6.0,5.5,4.5,1.0,NA
tolo1259,NA,NA,NA,NA,0.0
town1238,2.5,4.5,2.0,2.0,NA
trum1247,3.5,3.0,5.0,2.0,NA
tson1249,3.0,2.0,6.0,1.0,1.0
tune1261,NA,5.0,8.0,4.0,NA
tunu1234,NA,NA,NA,NA,0.0
tupi1273,3.5,NA,6.0,2.0,0.0
tupi1282,NA,NA,NA,NA,0.0
tuwa1243,3.5,2.0,3.0,4.0,NA
twan1247,5.75,5.0,8.0,4.0,NA
umbu1257,4.0,3.0,6.0,4.0,NA
unam1242,NA,NA,NA,NA,0.0
vall1251,4.0,6.0,8.0,1.0,NA
vedd1240,3.0,NA,4.0,1.0,0.0
vend1245,NA,NA,NA,NA,1.0
viet1252,3.0,2.0,6.5,3.0,NA
wara1303,2.75,3.0,3.5,1.0,NA
wayu1243,5.0,7.0,NA,4.0,NA
west1508,5.5,3.0,8.0,1.0,NA
west2386,3.0,6.0,8.0,1.0,NA
wole1240,NA,NA,NA,NA,0.0
wuch1236,3.5,NA,8.0,1.0,NA
wyan1247,3.0,NA,2.0,1.0,NA
xava1240,NA,2.0,2.25,1.0,0.0
xokl1240,NA,NA,NA,1.0,NA
yama1264,7.0,6.0,6.0,1.0,NA
yano1261,3.5,NA,4.0,1.0,0.0
yape1248,4.0,5.0,4.0,1.0,NA
yuro1248,3.5,3.0,NA,2.0,NA
zand1248,NA,NA,6.5,2.0,0.0
zulu1248,NA,NA,NA,NA,0.0
zuni1245,4.25,3.0,5.0,1.0,NA
